Ticker, Routing, Documentation, Label,Smallest unit Decimal (number)
GXT_ETH,GXT.ETH,Gemma Extending Tec,Gemma Extending Tec,18
HP_ETH,HP.ETH,HeartBout Pay,HeartBout Pay,18
RDPX_ETH,RDPX.ETH,Dopex Rebate Token,Dopex Rebate Token,18
CHZ_ETH,CHZ.ETH,Chiliz,Chiliz,18
MBET_ETH,MBET.ETH,MetaBET,MetaBET,18
SPT_ETH,SPT.ETH,SPECTRUM,SPECTRUM,8
LVN_ETH,LVN.ETH,LivenPay,LivenPay,18
EMRX_ETH,EMRX.ETH,Emirex Token,Emirex Token,8
RAC_ETH,RAC.ETH,RAC,RAC,18
XT_ETH,XT.ETH,XT com Token,XT com Token,18
SHIELD_ETH,SHIELD.ETH,Crypto Shield,Crypto Shield,18
XAC_ETH,XAC.ETH,General Attention C,General Attention C,8
FAT_ETH,FAT.ETH,Fatcoin,Fatcoin,18
CLV_ETH,CLV.ETH,Clover,Clover,6
BRMV_ETH,BRMV.ETH,BRMV Token,BRMV Token,18
